"racename","driver","startlap","interrupt"
"2015canada","kraikkonen",27,NA
"2015canada","kraikkonen",41,NA
"2015canada","vbottas",1,NA
"2015canada","vbottas",29,NA
"2015canada","jbutton",1,NA
"2015canada","jbutton",45,NA
"2015canada","dkvyat",1,NA
"2015canada","dkvyat",28,NA
"2015canada","falonso",1,NA
"2015canada","falonso",32,NA
"2015canada","mericsson",1,NA
"2015canada","mericsson",29,NA
"2015canada","lnasr",1,NA
"2015canada","lnasr",27,NA
"2015canada","fmassa",1,NA
"2015canada","fmassa",38,NA
"2015canada","rmehri",1,NA
"2015canada","rmehri",36,NA
"2015canada","mverstappen",1,NA
"2015canada","mverstappen",40,NA
"2015canada","wstevens",1,NA
"2015canada","wstevens",35,NA
"2015canada","wstevens",48,NA
"2015canada","csainz",1,NA
"2015canada","csainz",28,NA
"2015canada","nrosberg",1,NA
"2015canada","nrosberg",31,NA
"2015austria","svettel",1,NA
"2015austria","svettel",37,NA
"2015austria","pmaldonado",1,NA
"2015austria","pmaldonado",38,NA
"2015austria","nhulkenberg",1,NA
"2015austria","nhulkenberg",26,NA
"2015austria","sperez",1,NA
"2015austria","sperez",39,NA
"2015austria","dricciardo",1,NA
"2015austria","dricciardo",51,NA
"2015austria","lhamilton",1,NA
"2015austria","lhamilton",36,NA
"2015austria","rgrosjean",1,NA
"2015austria","rgrosjean",24,NA
"2015austria","vbottas",1,NA
"2015austria","vbottas",27,NA
"2015austria","jbutton",1,NA
"2015austria","jbutton",4,NA
"2015austria","jbutton",7,NA
"2015austria","dkvyat",1,NA
"2015austria","dkvyat",2,NA
"2015austria","dkvyat",46,NA
"2015austria","mericsson",1,NA
"2015austria","mericsson",3,NA
"2015austria","mericsson",13,NA
"2015austria","mericsson",46,NA
"2015austria","lnasr",1,NA
"2015austria","lnasr",25,NA
"2015austria","fmassa",1,NA
"2015austria","fmassa",35,NA
"2015austria","rmehri",1,NA
"2015austria","rmehri",35,NA
"2015austria","mverstappen",1,NA
"2015austria","mverstappen",27,NA
"2015austria","wstevens",1,NA
"2015austria","csainz",1,NA
"2015austria","csainz",26,NA
"2015austria","nrosberg",1,NA
"2015austria","nrosberg",34,NA
"2015greatbritain","svettel",1,NA
"2015greatbritain","svettel",15,NA
"2015greatbritain","svettel",44,NA
"2015greatbritain","nhulkenberg",1,NA
"2015greatbritain","nhulkenberg",20,NA
"2015greatbritain","nhulkenberg",45,NA
"2015greatbritain","sperez",1,NA
"2015greatbritain","sperez",21,NA
"2015greatbritain","sperez",45,NA
"2015greatbritain","dricciardo",1,NA
"2015greatbritain","dricciardo",12,NA
"2015greatbritain","dricciardo",21,NA
"2015greatbritain","lhamilton",1,NA
"2015greatbritain","lhamilton",20,NA
"2015greatbritain","lhamilton",44,NA
"2015greatbritain","kraikkonen",1,NA
"2015greatbritain","kraikkonen",14,NA
"2015greatbritain","kraikkonen",39,NA
"2015greatbritain","kraikkonen",48,NA
"2015greatbritain","vbottas",1,NA
"2015greatbritain","vbottas",22,NA
"2015greatbritain","vbottas",45,NA
"2015greatbritain","dkvyat",1,NA
"2015greatbritain","dkvyat",19,NA
"2015greatbritain","dkvyat",45,NA
"2015greatbritain","falonso",1,NA
"2015greatbritain","falonso",2,NA
"2015greatbritain","falonso",18,NA
"2015greatbritain","falonso",38,NA
"2015greatbritain","mericsson",1,NA
"2015greatbritain","mericsson",24,NA
"2015greatbritain","mericsson",38,NA
